,該年排名,片名,link,產地,發行商,票房（港元）,2023dollars,
2000,1,東京攻略,https://zh.wikipedia.org/wiki/%E6%9D%B1%E4%BA%AC%E6%94%BB%E7%95%A5,香港,嘉樂影片發行,"$28,187,905",70.9,"$397,573"
1986,1,富貴列車,https://zh.wikipedia.org/wiki/%E5%AF%8C%E8%B2%B4%E5%88%97%E8%BB%8A_(%E9%9B%BB%E5%BD%B1),香港,嘉樂影片發行,"$28,122,275",30.4,"$925,075"
1998,2,行運一條龍,https://zh.wikipedia.org/wiki/%E8%A1%8C%E9%81%8B%E4%B8%80%E6%A2%9D%E9%BE%8D,香港,新寶院線,"$27,730,525",76.7,"$361,545"
1999,2,玻璃樽,https://zh.wikipedia.org/wiki/%E7%8E%BB%E7%92%83%E6%A8%BD,香港,嘉樂影片發行,"$27,547,639",73.6,"$374,289"
1993,3,黃飛鴻之三：獅王爭霸,https://zh.wikipedia.org/wiki/%E9%BB%83%E9%A3%9B%E9%B4%BB%E4%B9%8B%E4%B8%89%EF%BC%9A%E7%8D%85%E7%8E%8B%E7%88%AD%E9%9C%B8,香港,嘉樂影片發行,"$27,540,561",55.9,"$492,676"
2001,2,鍾無艷,https://zh.wikipedia.org/wiki/%E9%8D%BE%E7%84%A1%E8%89%B7_(%E9%9B%BB%E5%BD%B1),香港,中國星集團,"$27,241,696",69.8,"$390,282"
1987,2,富貴逼人,https://zh.wikipedia.org/wiki/%E5%AF%8C%E8%B2%B4%E9%80%BC%E4%BA%BA,香港,德寶電影公司,"$27,141,624",32.1,"$845,533"
1986,2,最佳拍檔之千里救差婆,https://zh.wikipedia.org/wiki/%E6%9C%80%E4%BD%B3%E6%8B%8D%E6%AA%94%E4%B9%8B%E5%8D%83%E9%87%8C%E6%95%91%E5%B7%AE%E5%A9%86,香港,金公主娛樂,"$27,012,748",30.4,"$888,577"
2011,1,我愛HK開心萬歲,https://zh.wikipedia.org/wiki/%E6%88%91%E6%84%9BHK%E9%96%8B%E5%BF%83%E8%90%AC%E6%AD%B2,香港,洲立影片發行（香港）,"$26,688,278",77.9,"$342,597"
2007,1,門徒,https://zh.wikipedia.org/wiki/%E9%96%80%E5%BE%92_(%E9%9B%BB%E5%BD%B1),香港,發行工作室,"$26,530,848",68.9,"$385,063"
1982,1,最佳拍檔,https://zh.wikipedia.org/wiki/%E6%9C%80%E4%BD%B3%E6%8B%8D%E6%AA%94,香港,金公主娛樂,"$26,043,733",23.8,"$1,094,274"
1988,3,富貴再逼人,https://zh.wikipedia.org/wiki/%E5%AF%8C%E8%B2%B4%E5%86%8D%E9%80%BC%E4%BA%BA,香港,德寶電影公司,"$25,814,268",34.7,"$743,927"
1993,4,逃學威龍3之龍過雞年,https://zh.wikipedia.org/wiki/%E9%80%83%E5%AD%B8%E5%A8%81%E9%BE%8D3%E4%B9%8B%E9%BE%8D%E9%81%8E%E9%9B%9E%E5%B9%B4,香港,新寶院線,"$25,778,434",55.9,"$461,153"
2014,3,西遊記之大鬧天宮,https://zh.wikipedia.org/wiki/%E8%A5%BF%E9%81%8A%E8%A8%98%E4%B9%8B%E5%A4%A7%E9%AC%A7%E5%A4%A9%E5%AE%AE,中國大陸、香港,新寶院線,"$25,639,054",88.3,"$290,363"
2004,1,鬼馬狂想曲,https://zh.wikipedia.org/wiki/%E9%AC%BC%E9%A6%AC%E7%8B%82%E6%83%B3%E6%9B%B2,香港,中國星集團,"$25,244,771",65.6,"$384,829"
1996,3,大三元,https://zh.wikipedia.org/wiki/%E5%A4%A7%E4%B8%89%E5%85%83_(1996%E5%B9%B4%E9%9B%BB%E5%BD%B1),香港,東方電影,"$25,218,130",70.5,"$357,704"
1995,3,西遊記第壹佰零壹回之月光寶盒,https://zh.wikipedia.org/wiki/%E8%A5%BF%E9%81%8A%E8%A8%98%E7%AC%AC%E5%A3%B9%E4%BD%B0%E9%9B%B6%E5%A3%B9%E5%9B%9E%E4%B9%8B%E6%9C%88%E5%85%89%E5%AF%B6%E7%9B%92,香港,新寶院線,"$25,200,435",66.3,"$380,097"
2016,2,賭城風雲III,https://zh.wikipedia.org/wiki/%E8%B3%AD%E5%9F%8E%E9%A2%A8%E9%9B%B2III,中國大陸、香港,嘉樂影片發行,"$25,049,210",93.2,"$268,768"
2003,1,行運超人,https://zh.wikipedia.org/wiki/%E8%A1%8C%E9%81%8B%E8%B6%85%E4%BA%BA_(%E9%9B%BB%E5%BD%B1),香港,嘉樂影片發行,"$24,961,198",65.9,"$378,774"
2003,2,百年好合,https://zh.wikipedia.org/wiki/%E7%99%BE%E5%B9%B4%E5%A5%BD%E5%90%88,香港,中國星集團,"$24,726,283",65.9,"$375,209"
2009,1,家有囍事2009,https://zh.wikipedia.org/wiki/%E5%AE%B6%E6%9C%89%E5%9B%8D%E4%BA%8B2009,香港,東方電影,"$24,655,932",72.3,"$341,023"
2017,1,西遊伏妖篇,https://zh.wikipedia.org/wiki/%E8%A5%BF%E6%B8%B8%E4%BC%8F%E5%A6%96%E7%AF%87,中國大陸、香港,安樂影片,"$24,392,816",94.6,"$257,852"
2015,2,12金鴨,https://zh.wikipedia.org/wiki/12%E9%87%91%E9%B4%A8,香港,安樂影片,"$24,304,550",91,"$267,083"
1991,4,龍的傳人,https://zh.wikipedia.org/wiki/%E9%BE%8D%E7%9A%84%E5%82%B3%E4%BA%BA_(%E9%9B%BB%E5%BD%B1),香港,金公主娛樂,"$23,762,012",46.9,"$506,653"
2009,2,赤壁：決戰天下,https://zh.wikipedia.org/wiki/%E8%B5%A4%E5%A3%81_(%E7%94%B5%E5%BD%B1),中國大陸,嘉樂影片發行,"$23,713,573",72.3,"$327,989"
1993,5,射鵰英雄傳之東成西就,https://zh.wikipedia.org/wiki/%E5%B0%84%E9%B5%B0%E8%8B%B1%E9%9B%84%E5%82%B3%E4%B9%8B%E6%9D%B1%E6%88%90%E8%A5%BF%E5%B0%B1,香港,新寶院線,"$23,463,120",55.9,"$419,734"
1990,1,三人新世界,https://zh.wikipedia.org/wiki/%E4%B8%89%E4%BA%BA%E6%96%B0%E4%B8%96%E7%95%8C,香港,德寶電影公司,"$23,275,483",42.1,"$552,862"
1983,1,最佳拍檔大顯神通,https://zh.wikipedia.org/wiki/%E6%9C%80%E4%BD%B3%E6%8B%8D%E6%AA%94%E5%A4%A7%E9%A1%AF%E7%A5%9E%E9%80%9A,香港,金公主娛樂,"$23,273,140",26.1,"$891,691"
2019,2,新喜劇之王,https://zh.wikipedia.org/wiki/%E6%96%B0%E5%96%9C%E5%8A%87%E4%B9%8B%E7%8E%8B,中國大陸、香港,安樂影片,"$22,518,784",99.6,"$226,092"
2012,1,逆戰,https://zh.wikipedia.org/wiki/%E9%80%86%E6%88%B0_(%E9%9B%BB%E5%BD%B1),香港,英皇電影,"$22,212,450",81.1,"$273,890"
2002,1,嫁個有錢人,https://zh.wikipedia.org/w/index.php?title=%E5%AB%81%E5%80%8B%E6%9C%89%E9%8C%A2%E4%BA%BA&action=edit&redlink=1,香港,嘉樂影片發行,"$21,688,609",67.6,"$320,837"
2015,3,衝上雲霄,https://zh.wikipedia.org/wiki/%E8%A1%9D%E4%B8%8A%E9%9B%B2%E9%9C%84_(%E9%9B%BB%E5%BD%B1),香港,寰亞電影發行,"$21,634,135",91,"$237,738"
2000,2,決戰紫禁之巔,https://zh.wikipedia.org/wiki/%E6%B1%BA%E6%88%B0%E7%B4%AB%E7%A6%81%E4%B9%8B%E5%B7%94,中國大陸、香港,中國星集團,"$21,332,884",70.9,"$300,887"
1995,4,西遊記大結局之仙履奇緣,https://zh.wikipedia.org/wiki/%E8%A5%BF%E9%81%8A%E8%A8%98%E5%A4%A7%E7%B5%90%E5%B1%80%E4%B9%8B%E4%BB%99%E5%B1%A5%E5%A5%87%E7%B7%A3,香港,新寶院線,"$20,885,543",66.3,"$315,016"
2011,2,新少林寺,https://zh.wikipedia.org/wiki/%E6%96%B0%E5%B0%91%E6%9E%97%E5%AF%BA,中國大陸、香港,英皇電影,"$20,510,569",77.9,"$263,294"
2011,3,最強囍事,https://zh.wikipedia.org/wiki/%E6%9C%80%E5%BC%B7%E5%9B%8D%E4%BA%8B,香港,天馬影視文化,"$20,321,315",77.9,"$260,864"
1990,2,吉星拱照,https://zh.wikipedia.org/wiki/%E5%90%89%E6%98%9F%E6%8B%B1%E7%85%A7,香港,金公主娛樂,"$20,292,057",42.1,"$481,997"
2004,2,魔幻廚房,https://zh.wikipedia.org/wiki/%E9%AD%94%E5%B9%BB%E5%BB%9A%E6%88%BF,香港,寰亞電影發行,"$20,228,159",65.6,"$308,356"
1989,2,新最佳拍檔,https://zh.wikipedia.org/wiki/%E6%96%B0%E6%9C%80%E4%BD%B3%E6%8B%8D%E6%AA%94,香港,金公主娛樂,"$20,032,206",38.2,"$524,403"
1984,2,鐵板燒,https://zh.wikipedia.org/wiki/%E9%90%B5%E6%9D%BF%E7%87%92_(%E9%9B%BB%E5%BD%B1),香港,嘉樂影片發行,"$19,516,647",28.4,"$687,206"
2013,2,百星酒店,https://zh.wikipedia.org/wiki/%E7%99%BE%E6%98%9F%E9%85%92%E5%BA%97,香港,天馬影視文化,"$19,443,275",84.6,"$229,826"
2002,2,嚦咕嚦咕新年財,https://zh.wikipedia.org/wiki/%E5%9A%A6%E5%92%95%E5%9A%A6%E5%92%95%E6%96%B0%E5%B9%B4%E8%B2%A1,香港,中國星集團,"$19,218,759",67.6,"$284,301"
2012,2,2012我愛HK喜上加囍,https://zh.wikipedia.org/wiki/2012%E6%88%91%E6%84%9BHK%E5%96%9C%E4%B8%8A%E5%8A%A0%E5%9B%8D,香港,洲立影片發行（香港）,"$19,127,350",81.1,"$235,849"
1992,5,賭城大亨之新哥傳奇,https://zh.wikipedia.org/wiki/%E8%B3%AD%E5%9F%8E%E5%A4%A7%E4%BA%A8%E4%B9%8B%E6%96%B0%E5%93%A5%E5%82%B3%E5%A5%87,香港,新寶院線,"$18,907,126",51.3,"$368,560"
1987,3,衛斯理傳奇,https://zh.wikipedia.org/wiki/%E8%A1%9B%E6%96%AF%E7%90%86%E5%82%B3%E5%A5%87,香港,金公主娛樂,"$18,712,571",32.1,"$582,946"
1985,2,恭喜發財,,香港,金公主娛樂,"$18,418,994",29.4,"$626,496"
2014,4,六福喜事,https://zh.wikipedia.org/wiki/%E5%85%AD%E7%A6%8F%E5%96%9C%E4%BA%8B,香港,天馬影視文化,"$18,160,327",88.3,"$205,666"
1989,3,神勇飛虎霸王花,https://zh.wikipedia.org/wiki/%E7%A5%9E%E5%8B%87%E9%A3%9B%E8%99%8E%E9%9C%B8%E7%8E%8B%E8%8A%B1,香港,嘉樂影片發行,"$18,151,313",38.2,"$475,165"
1982,2,龍少爺,https://zh.wikipedia.org/wiki/%E9%BE%8D%E5%B0%91%E7%88%BA,香港,嘉樂影片發行,"$17,936,344",23.8,"$753,628"
1981,1,摩登保鑣,https://zh.wikipedia.org/wiki/%E6%91%A9%E7%99%BB%E4%BF%9D%E9%91%A3,香港,嘉樂影片發行,"$17,769,048",21.4,"$830,329"
1990,3,富貴兵團,https://zh.wikipedia.org/wiki/%E5%AF%8C%E8%B2%B4%E5%85%B5%E5%9C%98,香港,新寶院線,"$17,761,766",42.1,"$421,895"
2018,2,我的情敵女婿,https://zh.wikipedia.org/wiki/%E6%88%91%E7%9A%84%E6%83%85%E6%95%B5%E5%A5%B3%E5%A9%BF,香港,英皇電影,"$17,583,592",96.8,"$181,649"
2013,3,2013我愛HK恭囍發財,https://zh.wikipedia.org/wiki/2013%E6%88%91%E6%84%9BHK%E6%81%AD%E5%9B%8D%E7%99%BC%E8%B2%A1,香港,洲立影片發行（香港）,"$16,953,263",84.6,"$200,393"
1989,4,富貴再三逼人,https://zh.wikipedia.org/wiki/%E5%AF%8C%E8%B2%B4%E5%86%8D%E4%B8%89%E9%80%BC%E4%BA%BA,香港,德寶電影公司,"$16,686,891",38.2,"$436,830"
2017,2,小男人週記3之吾家有喜,https://zh.wikipedia.org/wiki/%E5%B0%8F%E7%94%B7%E4%BA%BA%E9%80%B1%E8%A8%983%E4%B9%8B%E5%90%BE%E5%AE%B6%E6%9C%89%E5%96%9C,香港,嘉樂影片發行,"$16,522,185",94.6,"$174,653"
2018,3,捉妖記2,https://zh.wikipedia.org/wiki/%E6%8D%89%E5%A6%96%E8%AE%B02,中國大陸、香港,安樂影片,"$16,382,872",96.8,"$169,245"
1996,4,嫲嫲．帆帆,,香港,金聲院線,"$16,243,515",70.5,"$230,404"
1982,2,少林寺,https://zh.wikipedia.org/wiki/%E5%B0%91%E6%9E%97%E5%AF%BA_(1982%E5%B9%B4%E7%94%B5%E5%BD%B1),中國大陸、香港,,"$16,157,801",23.8,"$678,899"
2023,2,超神經械劫案下,https://zh.wikipedia.org/wiki/%E8%B6%85%E7%A5%9E%E7%B6%93%E6%A2%B0%E5%8A%AB%E6%A1%88%E4%B8%8B,香港,英皇電影,"$16,152,635",105.5,"$153,106"
2016,3,西遊記之孫悟空三打白骨精,https://zh.wikipedia.org/wiki/%E8%A5%BF%E6%B8%B8%E8%AE%B0%E4%B9%8B%E5%AD%99%E6%82%9F%E7%A9%BA%E4%B8%89%E6%89%93%E7%99%BD%E9%AA%A8%E7%B2%BE,中國大陸、香港,星皓影業,"$15,921,532",93.2,"$170,832"
1983,2,新蜀山劍俠,https://zh.wikipedia.org/wiki/%E6%96%B0%E8%9C%80%E5%B1%B1%E5%89%91%E4%BE%A0,香港,嘉樂影片發行,"$15,878,510",26.1,"$608,372"
2005,1,喜馬拉亞星,https://zh.wikipedia.org/wiki/%E5%96%9C%E9%A9%AC%E6%8B%89%E4%BA%9A%E6%98%9F,香港,中國星集團,"$15,603,530",66.2,"$235,703"
1991,5,賭聖延續篇：賭霸,https://zh.wikipedia.org/wiki/%E8%B3%AD%E8%81%96%E5%BB%B6%E7%BA%8C%E7%AF%87%EF%BC%9A%E8%B3%AD%E9%9C%B8,香港,嘉樂影片發行,"$15,575,932",46.9,"$332,109"
